strand_index,shape_index,length,start_index,end_index,x1,y1,z1,x2,y2,z2
2,6,32,1443,1474,-0.852109340909,0.516055760206,0.0871557427477,-0.838677032491,0.387523193841,0.382683432365
2,6,28,1475,1502,-0.838677032491,0.387523193841,0.382683432365,-0.668697106568,0.373722180905,0.642787609687
2,6,33,1503,1535,-0.668697106568,0.373722180905,0.642787609687,-0.562069685453,0.520482235555,0.642787609687
2,6,32,1536,1567,-0.562069685453,0.520482235555,0.642787609687,-0.62772191455,0.677878004206,0.382683432365
2,7,39,1568,1606,-0.543042764105,0.747434242557,0.382683432365,-0.728968627421,0.684547105929,0.0
2,7,43,1607,1649,-0.728968627421,0.684547105929,0.0,-0.876306680044,0.481753674102,0.0
2,7,43,1650,1692,-0.876306680044,0.481753674102,0.0,-0.878661649667,0.285494476301,0.382683432365
2,7,42,1693,1734,-0.878661649667,0.285494476301,0.382683432365,-0.649439664404,0.27969290713,0.707106781187
2,7,41,1735,1775,-0.649439664404,0.27969290713,0.707106781187,-0.46669165501,0.531223963263,0.707106781187
2,7,40,1776,1815,-0.46669165501,0.531223963263,0.707106781187,-0.543042764105,0.747434242557,0.382683432365
2,8,45,1816,1860,-0.526004049386,0.751211634668,0.398749068925,-0.457349439094,0.539287947724,0.707106781187
2,8,55,1861,1915,-0.457349439094,0.539287947724,0.707106781187,-0.159155517897,0.489830317283,0.857167300702
2,8,49,1916,1964,-0.159155517897,0.489830317283,0.857167300702,0.0530179661836,0.705116370014,0.707106781187
2,8,44,1965,2008,0.0530179661836,0.705116370014,0.707106781187,-0.0160049051456,0.916920401694,0.398749068925
2,8,53,2009,2061,-0.0160049051456,0.916920401694,0.398749068925,-0.526004049386,0.751211634668,0.398749068925
3,9,32,2085,2116,-0.62772191455,-0.677878004206,0.382683432365,-0.562069685453,-0.520482235555,0.642787609687
3,9,32,2117,2148,-0.562069685453,-0.520482235555,0.642787609687,-0.668697106568,-0.373722180905,0.642787609687
3,9,26,2149,2174,-0.668697106568,-0.373722180905,0.642787609687,-0.838677032491,-0.387523193841,0.382683432365
3,9,26,2175,2200,-0.838677032491,-0.387523193841,0.382683432365,-0.852109340909,-0.516055760206,0.0871557427477
3,9,28,2201,2228,-0.852109340909,-0.516055760206,0.0871557427477,-0.754114460922,-0.650934141319,0.0871557427477
3,9,28,2229,2256,-0.754114460922,-0.650934141319,0.0871557427477,-0.62772191455,-0.677878004206,0.382683432365
3,10,45,2257,2301,-0.543042764105,-0.747434242557,0.382683432365,-0.46669165501,-0.531223963263,0.707106781187
3,10,41,2302,2342,-0.46669165501,-0.531223963263,0.707106781187,-0.649439664404,-0.27969290713,0.707106781187
3,10,41,2343,2383,-0.649439664404,-0.27969290713,0.707106781187,-0.878661649667,-0.285494476301,0.382683432365
3,10,44,2384,2427,-0.878661649667,-0.285494476301,0.382683432365,-0.876306680044,-0.481753674102,0.0
3,10,38,2428,2465,-0.876306680044,-0.481753674102,0.0,-0.728968627421,-0.684547105929,0.0
3,10,40,2466,2505,-0.728968627421,-0.684547105929,0.0,-0.543042764105,-0.747434242557,0.382683432365
3,11,53,2506,2558,-0.526004049386,-0.751211634668,0.398749068925,-0.0160049051456,-0.916920401694,0.398749068925
3,11,44,2559,2602,-0.0160049051456,-0.916920401694,0.398749068925,0.0530179661836,-0.705116370014,0.707106781187
3,11,60,2603,2662,0.0530179661836,-0.705116370014,0.707106781187,-0.159155517897,-0.489830317283,0.857167300702
3,11,55,2663,2717,-0.159155517897,-0.489830317283,0.857167300702,-0.457349439094,-0.539287947724,0.707106781187
3,11,45,2718,2762,-0.457349439094,-0.539287947724,0.707106781187,-0.526004049386,-0.751211634668,0.398749068925
4,12,31,2780,2810,0.109391002886,-0.917380509429,0.382683432365,0.227481926109,-0.969874141216,0.0871557427477
4,12,35,2811,2845,0.227481926109,-0.969874141216,0.0871557427477,0.386040972651,-0.918355183979,0.0871557427477
